"County","Year","Race","EDvisits"
"trinity",2015,"Hispanic",NA
"tulare",2015,"Hispanic",38.1
"tuolumne",2015,"Hispanic",22.5
"ventura",2015,"Hispanic",37.4
"yolo",2015,"Hispanic",48.7
"yuba",2015,"Hispanic",29.2
"alameda",2015,"Asian/PI",23
"alpine",2015,"Asian/PI",0
"amador",2015,"Asian/PI",0
"butte",2015,"Asian/PI",21.1
"calaveras",2015,"Asian/PI",NA
"colusa",2015,"Asian/PI",0
"contra costa",2015,"Asian/PI",26.3
"del norte",2015,"Asian/PI",NA
"el dorado",2015,"Asian/PI",18.4
"fresno",2015,"Asian/PI",25.5
"glenn",2015,"Asian/PI",NA
"humboldt",2015,"Asian/PI",NA
"imperial",2015,"Asian/PI",NA
"inyo",2015,"Asian/PI",0
"kern",2015,"Asian/PI",23.5
"kings",2015,"Asian/PI",NA
"lake",2015,"Asian/PI",NA
"lassen",2015,"Asian/PI",0
"los angeles",2015,"Asian/PI",18
"madera",2015,"Asian/PI",NA
"marin",2015,"Asian/PI",17.4
"mariposa",2015,"Asian/PI",0
"mendocino",2015,"Asian/PI",NA
"merced",2015,"Asian/PI",20.3
"modoc",2015,"Asian/PI",0
"mono",2015,"Asian/PI",0
"monterey",2015,"Asian/PI",31.9
"napa",2015,"Asian/PI",34
"nevada",2015,"Asian/PI",0
"orange",2015,"Asian/PI",14.8
"placer",2015,"Asian/PI",15.4
"plumas",2015,"Asian/PI",0
"riverside",2015,"Asian/PI",13.5
"sacramento",2015,"Asian/PI",33.4
"san benito",2015,"Asian/PI",NA
"san bernardino",2015,"Asian/PI",17.4
"san diego",2015,"Asian/PI",19.4
"san francisco",2015,"Asian/PI",20.4
"san joaquin",2015,"Asian/PI",32
"san luis obispo",2015,"Asian/PI",NA
"san mateo",2015,"Asian/PI",18.5
"santa barbara",2015,"Asian/PI",23.5
"santa clara",2015,"Asian/PI",16
"santa cruz",2015,"Asian/PI",NA
"shasta",2015,"Asian/PI",33.8
"sierra",2015,"Asian/PI",0
"siskiyou",2015,"Asian/PI",NA
"solano",2015,"Asian/PI",33.3
"sonoma",2015,"Asian/PI",16.9
"stanislaus",2015,"Asian/PI",21
"sutter",2015,"Asian/PI",20.7
"tehama",2015,"Asian/PI",NA
"trinity",2015,"Asian/PI",0
"tulare",2015,"Asian/PI",14.1
"tuolumne",2015,"Asian/PI",NA
"ventura",2015,"Asian/PI",13.8
"yolo",2015,"Asian/PI",33.8
"yuba",2015,"Asian/PI",37.9
"alameda",2015,"AI/AN",469.6
"alpine",2015,"AI/AN",0
"amador",2015,"AI/AN",0
"butte",2015,"AI/AN",NA
"calaveras",2015,"AI/AN",NA
"colusa",2015,"AI/AN",NA
"contra costa",2015,"AI/AN",50.9
"del norte",2015,"AI/AN",NA
"el dorado",2015,"AI/AN",NA
"fresno",2015,"AI/AN",NA
"glenn",2015,"AI/AN",NA
"humboldt",2015,"AI/AN",70.4
"imperial",2015,"AI/AN",0
"inyo",2015,"AI/AN",71.6
"kern",2015,"AI/AN",NA
"kings",2015,"AI/AN",NA
"lake",2015,"AI/AN",NA
"lassen",2015,"AI/AN",NA
"los angeles",2015,"AI/AN",26.1
"madera",2015,"AI/AN",NA
"marin",2015,"AI/AN",NA
"mariposa",2015,"AI/AN",NA
"mendocino",2015,"AI/AN",56.8
"merced",2015,"AI/AN",NA
"modoc",2015,"AI/AN",NA
"mono",2015,"AI/AN",0
"monterey",2015,"AI/AN",NA
"napa",2015,"AI/AN",0
"nevada",2015,"AI/AN",0
"orange",2015,"AI/AN",23.7
"placer",2015,"AI/AN",NA
"plumas",2015,"AI/AN",NA
"riverside",2015,"AI/AN",40.2
"sacramento",2015,"AI/AN",55.3
"san benito",2015,"AI/AN",0
"san bernardino",2015,"AI/AN",82.7
"san diego",2015,"AI/AN",17.5
"san francisco",2015,"AI/AN",NA
"san joaquin",2015,"AI/AN",60.9
"san luis obispo",2015,"AI/AN",NA
"san mateo",2015,"AI/AN",NA
"santa barbara",2015,"AI/AN",NA
"santa clara",2015,"AI/AN",NA
"santa cruz",2015,"AI/AN",0
"shasta",2015,"AI/AN",64.9
"sierra",2015,"AI/AN",0
"siskiyou",2015,"AI/AN",NA
"solano",2015,"AI/AN",59.4
"sonoma",2015,"AI/AN",49.9
"stanislaus",2015,"AI/AN",NA
"sutter",2015,"AI/AN",NA
"tehama",2015,"AI/AN",0
"trinity",2015,"AI/AN",NA
"tulare",2015,"AI/AN",69.3
"tuolumne",2015,"AI/AN",0
"ventura",2015,"AI/AN",NA
"yolo",2015,"AI/AN",NA
"yuba",2015,"AI/AN",NA
"alameda",2016,"White",28.8
"alpine",2016,"White",NA
"amador",2016,"White",62.7
"butte",2016,"White",41.3
"calaveras",2016,"White",50.5
"colusa",2016,"White",42.4
"contra costa",2016,"White",34
"del norte",2016,"White",92.3
"el dorado",2016,"White",30.1
"fresno",2016,"White",66.2
"glenn",2016,"White",33
"humboldt",2016,"White",66.1
"imperial",2016,"White",62.2
"inyo",2016,"White",44.1
"kern",2016,"White",49.8
"kings",2016,"White",65.9
"lake",2016,"White",82.5
"lassen",2016,"White",50.8
"los angeles",2016,"White",32.3
"madera",2016,"White",52.5
"marin",2016,"White",19.3
"mariposa",2016,"White",45.7
"mendocino",2016,"White",58.4
"merced",2016,"White",84.4
"modoc",2016,"White",81.9
"mono",2016,"White",30.8
"monterey",2016,"White",37.4
"napa",2016,"White",35.6
"nevada",2016,"White",37.3
"orange",2016,"White",28.3
"placer",2016,"White",28.9
"plumas",2016,"White",53.3
"riverside",2016,"White",39.8
"sacramento",2016,"White",42.3
"san benito",2016,"White",51
"san bernardino",2016,"White",44.3
"san diego",2016,"White",20.9
"san francisco",2016,"White",23
"san joaquin",2016,"White",46.4
"san luis obispo",2016,"White",37.6
"san mateo",2016,"White",24.5
"santa barbara",2016,"White",33.4
"santa clara",2016,"White",23.6
"santa cruz",2016,"White",30.5
"shasta",2016,"White",47.4
"sierra",2016,"White",NA
"siskiyou",2016,"White",37.7
"solano",2016,"White",61
"sonoma",2016,"White",34.9
"stanislaus",2016,"White",49
"sutter",2016,"White",37.3
"tehama",2016,"White",61.2
"trinity",2016,"White",61.8
"tulare",2016,"White",26.7
"tuolumne",2016,"White",52.4
"ventura",2016,"White",32.6
"yolo",2016,"White",31.7
"yuba",2016,"White",44
"alameda",2016,"Black",204
"alpine",2016,"Black",0
"amador",2016,"Black",NA
"butte",2016,"Black",201.3
"calaveras",2016,"Black",NA
"colusa",2016,"Black",0
"contra costa",2016,"Black",206.2
"del norte",2016,"Black",NA
"el dorado",2016,"Black",111.8
"fresno",2016,"Black",146.4
"glenn",2016,"Black",NA
"humboldt",2016,"Black",456.3
"imperial",2016,"Black",119.6
"inyo",2016,"Black",NA
"kern",2016,"Black",177.6
"kings",2016,"Black",157.4
"lake",2016,"Black",284.8
"lassen",2016,"Black",NA
"los angeles",2016,"Black",167
"madera",2016,"Black",315.7
"marin",2016,"Black",114.7
"mariposa",2016,"Black",NA
"mendocino",2016,"Black",NA
"merced",2016,"Black",300
"modoc",2016,"Black",0
"mono",2016,"Black",0
"monterey",2016,"Black",127.2
"napa",2016,"Black",103.3
"nevada",2016,"Black",NA
"orange",2016,"Black",123.4
"placer",2016,"Black",152
"plumas",2016,"Black",560.9
"riverside",2016,"Black",147.6
"sacramento",2016,"Black",214.6
"san benito",2016,"Black",NA
"san bernardino",2016,"Black",141.2
"san diego",2016,"Black",109.6
"san francisco",2016,"Black",199.1
"san joaquin",2016,"Black",226.9
"san luis obispo",2016,"Black",89
"san mateo",2016,"Black",90.3
"santa barbara",2016,"Black",139.6
"santa clara",2016,"Black",121.9
"santa cruz",2016,"Black",61.7
"shasta",2016,"Black",193.8
"sierra",2016,"Black",0
"siskiyou",2016,"Black",NA
"solano",2016,"Black",228.1
"sonoma",2016,"Black",157.8
"stanislaus",2016,"Black",236
"sutter",2016,"Black",172.9
"tehama",2016,"Black",NA
"trinity",2016,"Black",0
"tulare",2016,"Black",165.8
"tuolumne",2016,"Black",NA
