"County","Year","Race","EDvisits"
"shasta",2017,"Asian/PI",52.5
"sierra",2017,"Asian/PI",0
"siskiyou",2017,"Asian/PI",NA
"solano",2017,"Asian/PI",70.8
"sonoma",2017,"Asian/PI",36.9
"stanislaus",2017,"Asian/PI",21.3
"sutter",2017,"Asian/PI",20.5
"tehama",2017,"Asian/PI",NA
"trinity",2017,"Asian/PI",NA
"tulare",2017,"Asian/PI",17.2
"tuolumne",2017,"Asian/PI",0
"ventura",2017,"Asian/PI",12.3
"yolo",2017,"Asian/PI",60.5
"yuba",2017,"Asian/PI",33.8
"alameda",2017,"AI/AN",75
"alpine",2017,"AI/AN",0
"amador",2017,"AI/AN",NA
"butte",2017,"AI/AN",NA
"calaveras",2017,"AI/AN",NA
"colusa",2017,"AI/AN",0
"contra costa",2017,"AI/AN",125.5
"del norte",2017,"AI/AN",93.1
"el dorado",2017,"AI/AN",NA
"fresno",2017,"AI/AN",28.2
"glenn",2017,"AI/AN",NA
"humboldt",2017,"AI/AN",31.1
"imperial",2017,"AI/AN",0
"inyo",2017,"AI/AN",121.9
"kern",2017,"AI/AN",NA
"kings",2017,"AI/AN",NA
"lake",2017,"AI/AN",86.4
"lassen",2017,"AI/AN",NA
"los angeles",2017,"AI/AN",29.8
"madera",2017,"AI/AN",NA
"marin",2017,"AI/AN",NA
"mariposa",2017,"AI/AN",NA
"mendocino",2017,"AI/AN",87.2
"merced",2017,"AI/AN",NA
"modoc",2017,"AI/AN",NA
"mono",2017,"AI/AN",0
"monterey",2017,"AI/AN",NA
"napa",2017,"AI/AN",NA
"nevada",2017,"AI/AN",NA
"orange",2017,"AI/AN",25.3
"placer",2017,"AI/AN",NA
"plumas",2017,"AI/AN",NA
"riverside",2017,"AI/AN",42.8
"sacramento",2017,"AI/AN",50.5
"san benito",2017,"AI/AN",NA
"san bernardino",2017,"AI/AN",182.6
"san diego",2017,"AI/AN",30.9
"san francisco",2017,"AI/AN",211.5
"san joaquin",2017,"AI/AN",45.5
"san luis obispo",2017,"AI/AN",NA
"san mateo",2017,"AI/AN",NA
"santa barbara",2017,"AI/AN",NA
"santa clara",2017,"AI/AN",NA
"santa cruz",2017,"AI/AN",NA
"shasta",2017,"AI/AN",46.7
"sierra",2017,"AI/AN",0
"siskiyou",2017,"AI/AN",NA
"solano",2017,"AI/AN",NA
"sonoma",2017,"AI/AN",60.1
"stanislaus",2017,"AI/AN",NA
"sutter",2017,"AI/AN",NA
"tehama",2017,"AI/AN",NA
"trinity",2017,"AI/AN",NA
"tulare",2017,"AI/AN",NA
"tuolumne",2017,"AI/AN",NA
"ventura",2017,"AI/AN",NA
"yolo",2017,"AI/AN",NA
"yuba",2017,"AI/AN",NA
"alameda",2018,"White",23.9
"alpine",2018,"White",NA
"amador",2018,"White",46.7
"butte",2018,"White",43.4
"calaveras",2018,"White",54.6
"colusa",2018,"White",65.5
"contra costa",2018,"White",31.7
"del norte",2018,"White",70.8
"el dorado",2018,"White",35
"fresno",2018,"White",60.6
"glenn",2018,"White",40
"humboldt",2018,"White",49.4
"imperial",2018,"White",62.9
"inyo",2018,"White",57.6
"kern",2018,"White",39.6
"kings",2018,"White",60.6
"lake",2018,"White",89.3
"lassen",2018,"White",44.5
"los angeles",2018,"White",27.7
"madera",2018,"White",39.2
"marin",2018,"White",19.7
"mariposa",2018,"White",51.7
"mendocino",2018,"White",67.9
"merced",2018,"White",62.9
"modoc",2018,"White",65.9
"mono",2018,"White",21.4
"monterey",2018,"White",30.7
"napa",2018,"White",38.5
"nevada",2018,"White",26.2
"orange",2018,"White",26.5
"placer",2018,"White",30.5
"plumas",2018,"White",64.6
"riverside",2018,"White",34.8
"sacramento",2018,"White",43.4
"san benito",2018,"White",48.6
"san bernardino",2018,"White",44.5
"san diego",2018,"White",20
"san francisco",2018,"White",19.4
"san joaquin",2018,"White",50.7
"san luis obispo",2018,"White",26.4
"san mateo",2018,"White",18.8
"santa barbara",2018,"White",25.3
"santa clara",2018,"White",18.8
"santa cruz",2018,"White",26.6
"shasta",2018,"White",37.5
"sierra",2018,"White",60.9
"siskiyou",2018,"White",39.8
"solano",2018,"White",59.5
"sonoma",2018,"White",34.2
"stanislaus",2018,"White",53.4
"sutter",2018,"White",34.6
"tehama",2018,"White",49.3
"trinity",2018,"White",73.2
"tulare",2018,"White",25.4
"tuolumne",2018,"White",50.9
"ventura",2018,"White",28.3
"yolo",2018,"White",38.1
"yuba",2018,"White",45
"alameda",2018,"Black",176.1
"alpine",2018,"Black",0
"amador",2018,"Black",NA
"butte",2018,"Black",297.4
"calaveras",2018,"Black",NA
"colusa",2018,"Black",NA
"contra costa",2018,"Black",197.7
"del norte",2018,"Black",NA
"el dorado",2018,"Black",196
"fresno",2018,"Black",175.2
"glenn",2018,"Black",NA
"humboldt",2018,"Black",378.9
"imperial",2018,"Black",79.7
"inyo",2018,"Black",NA
"kern",2018,"Black",178.1
"kings",2018,"Black",136.6
"lake",2018,"Black",404.9
"lassen",2018,"Black",NA
"los angeles",2018,"Black",156
"madera",2018,"Black",212.6
"marin",2018,"Black",90.1
"mariposa",2018,"Black",0
"mendocino",2018,"Black",483.3
"merced",2018,"Black",165.9
"modoc",2018,"Black",NA
"mono",2018,"Black",0
"monterey",2018,"Black",97.5
"napa",2018,"Black",97.7
"nevada",2018,"Black",NA
"orange",2018,"Black",97.1
"placer",2018,"Black",119.4
"plumas",2018,"Black",NA
"riverside",2018,"Black",122.1
"sacramento",2018,"Black",202.6
"san benito",2018,"Black",NA
"san bernardino",2018,"Black",122.7
"san diego",2018,"Black",99.9
"san francisco",2018,"Black",227.6
"san joaquin",2018,"Black",207.8
"san luis obispo",2018,"Black",101
"san mateo",2018,"Black",86.3
"santa barbara",2018,"Black",113.3
"santa clara",2018,"Black",101.7
"santa cruz",2018,"Black",117.4
"shasta",2018,"Black",174.6
"sierra",2018,"Black",0
"siskiyou",2018,"Black",NA
"solano",2018,"Black",219.9
"sonoma",2018,"Black",124
"stanislaus",2018,"Black",198
"sutter",2018,"Black",137.3
"tehama",2018,"Black",NA
"trinity",2018,"Black",0
"tulare",2018,"Black",99.7
"tuolumne",2018,"Black",NA
"ventura",2018,"Black",105.7
"yolo",2018,"Black",151.3
"yuba",2018,"Black",242.3
"alameda",2018,"Hispanic",45.1
"alpine",2018,"Hispanic",0
"amador",2018,"Hispanic",36.7
"butte",2018,"Hispanic",18.5
"calaveras",2018,"Hispanic",23.7
"colusa",2018,"Hispanic",46.2
"contra costa",2018,"Hispanic",57.2
"del norte",2018,"Hispanic",27.7
"el dorado",2018,"Hispanic",31.4
"fresno",2018,"Hispanic",69.7
"glenn",2018,"Hispanic",19.7
"humboldt",2018,"Hispanic",36.1
"imperial",2018,"Hispanic",57.9
"inyo",2018,"Hispanic",41.6
"kern",2018,"Hispanic",40
"kings",2018,"Hispanic",47.6
"lake",2018,"Hispanic",75.6
"lassen",2018,"Hispanic",NA
"los angeles",2018,"Hispanic",46
"madera",2018,"Hispanic",54.7
"marin",2018,"Hispanic",35.4
"mariposa",2018,"Hispanic",NA
"mendocino",2018,"Hispanic",53.5
"merced",2018,"Hispanic",60.1
"modoc",2018,"Hispanic",NA
"mono",2018,"Hispanic",58.4
"monterey",2018,"Hispanic",36.9
"napa",2018,"Hispanic",36.6
"nevada",2018,"Hispanic",26.4
"orange",2018,"Hispanic",28.2
"placer",2018,"Hispanic",38.2
"plumas",2018,"Hispanic",NA
"riverside",2018,"Hispanic",32.4
"sacramento",2018,"Hispanic",60.1
"san benito",2018,"Hispanic",61.5
"san bernardino",2018,"Hispanic",37.6
"san diego",2018,"Hispanic",29.5
"san francisco",2018,"Hispanic",48.1
"san joaquin",2018,"Hispanic",50.1
"san luis obispo",2018,"Hispanic",25.6
"san mateo",2018,"Hispanic",41
"santa barbara",2018,"Hispanic",27.3
"santa clara",2018,"Hispanic",41.5
"santa cruz",2018,"Hispanic",29.8
"shasta",2018,"Hispanic",26.3
"sierra",2018,"Hispanic",0
"siskiyou",2018,"Hispanic",18.7
"solano",2018,"Hispanic",59.5
"sonoma",2018,"Hispanic",41.9
"stanislaus",2018,"Hispanic",46.3
"sutter",2018,"Hispanic",24.6
"tehama",2018,"Hispanic",31.6
"trinity",2018,"Hispanic",NA
"tulare",2018,"Hispanic",29
"tuolumne",2018,"Hispanic",38.3
"ventura",2018,"Hispanic",31.6
"yolo",2018,"Hispanic",39.3
"yuba",2018,"Hispanic",29.3
"alameda",2018,"Asian/PI",24.4
"alpine",2018,"Asian/PI",0
"amador",2018,"Asian/PI",0
"butte",2018,"Asian/PI",18
"calaveras",2018,"Asian/PI",NA
"colusa",2018,"Asian/PI",NA
"contra costa",2018,"Asian/PI",30
"del norte",2018,"Asian/PI",NA
"el dorado",2018,"Asian/PI",27.2
"fresno",2018,"Asian/PI",25.9
"glenn",2018,"Asian/PI",NA
"humboldt",2018,"Asian/PI",45.9
"imperial",2018,"Asian/PI",NA
"inyo",2018,"Asian/PI",NA
"kern",2018,"Asian/PI",17.9
"kings",2018,"Asian/PI",NA
"lake",2018,"Asian/PI",NA
"lassen",2018,"Asian/PI",0
"los angeles",2018,"Asian/PI",16.2
"madera",2018,"Asian/PI",NA
"marin",2018,"Asian/PI",15.9
"mariposa",2018,"Asian/PI",0
"mendocino",2018,"Asian/PI",NA
"merced",2018,"Asian/PI",26.5
"modoc",2018,"Asian/PI",NA
"mono",2018,"Asian/PI",NA
"monterey",2018,"Asian/PI",18.3
"napa",2018,"Asian/PI",27.9
"nevada",2018,"Asian/PI",NA
"orange",2018,"Asian/PI",14.1
"placer",2018,"Asian/PI",29.9
"plumas",2018,"Asian/PI",NA
"riverside",2018,"Asian/PI",18.5
"sacramento",2018,"Asian/PI",39.7
"san benito",2018,"Asian/PI",NA
"san bernardino",2018,"Asian/PI",17.5
"san diego",2018,"Asian/PI",19.4
"san francisco",2018,"Asian/PI",21.1
"san joaquin",2018,"Asian/PI",34.9
"san luis obispo",2018,"Asian/PI",NA
"san mateo",2018,"Asian/PI",20.2
"santa barbara",2018,"Asian/PI",21.1
"santa clara",2018,"Asian/PI",13.3
"santa cruz",2018,"Asian/PI",NA
"shasta",2018,"Asian/PI",63.3
"sierra",2018,"Asian/PI",0
"siskiyou",2018,"Asian/PI",NA
"solano",2018,"Asian/PI",54.7
"sonoma",2018,"Asian/PI",35.6
"stanislaus",2018,"Asian/PI",28.9
"sutter",2018,"Asian/PI",16.3
"tehama",2018,"Asian/PI",0
"trinity",2018,"Asian/PI",NA
"tulare",2018,"Asian/PI",13.8
"tuolumne",2018,"Asian/PI",NA
"ventura",2018,"Asian/PI",12.6
"yolo",2018,"Asian/PI",21.8
"yuba",2018,"Asian/PI",NA
"alameda",2018,"AI/AN",47.8
"alpine",2018,"AI/AN",0
"amador",2018,"AI/AN",NA
"butte",2018,"AI/AN",NA
"calaveras",2018,"AI/AN",NA
"colusa",2018,"AI/AN",0
"contra costa",2018,"AI/AN",47.8
"del norte",2018,"AI/AN",NA
"el dorado",2018,"AI/AN",NA
"fresno",2018,"AI/AN",23.9
"glenn",2018,"AI/AN",NA
"humboldt",2018,"AI/AN",59.9
"imperial",2018,"AI/AN",0
"inyo",2018,"AI/AN",NA
"kern",2018,"AI/AN",NA
"kings",2018,"AI/AN",NA
"lake",2018,"AI/AN",109.3
"lassen",2018,"AI/AN",NA
"los angeles",2018,"AI/AN",31
"madera",2018,"AI/AN",NA
"marin",2018,"AI/AN",NA
"mariposa",2018,"AI/AN",NA
"mendocino",2018,"AI/AN",69.4
"merced",2018,"AI/AN",NA
"modoc",2018,"AI/AN",NA
"mono",2018,"AI/AN",NA
"monterey",2018,"AI/AN",NA
"napa",2018,"AI/AN",NA
"nevada",2018,"AI/AN",0
"orange",2018,"AI/AN",23
"placer",2018,"AI/AN",NA
"plumas",2018,"AI/AN",NA
"riverside",2018,"AI/AN",33.5
"sacramento",2018,"AI/AN",41.4
"san benito",2018,"AI/AN",0
"san bernardino",2018,"AI/AN",203.4
"san diego",2018,"AI/AN",26.1
"san francisco",2018,"AI/AN",145.7
"san joaquin",2018,"AI/AN",NA
"san luis obispo",2018,"AI/AN",0
"san mateo",2018,"AI/AN",NA
"santa barbara",2018,"AI/AN",NA
"santa clara",2018,"AI/AN",NA
"santa cruz",2018,"AI/AN",0
"shasta",2018,"AI/AN",38.8
"sierra",2018,"AI/AN",0
"siskiyou",2018,"AI/AN",NA
"solano",2018,"AI/AN",NA
"sonoma",2018,"AI/AN",41.5
"stanislaus",2018,"AI/AN",NA
"sutter",2018,"AI/AN",0
"tehama",2018,"AI/AN",0
"trinity",2018,"AI/AN",0
"tulare",2018,"AI/AN",NA
"tuolumne",2018,"AI/AN",NA
"ventura",2018,"AI/AN",0
"yolo",2018,"AI/AN",NA
"yuba",2018,"AI/AN",NA
"alameda",2019,"White",21.5
"alpine",2019,"White",0
"amador",2019,"White",56.9
"butte",2019,"White",36.4
"calaveras",2019,"White",58
"colusa",2019,"White",46.3
"contra costa",2019,"White",29.1
"del norte",2019,"White",57.9
"el dorado",2019,"White",37.4
"fresno",2019,"White",43.8
"glenn",2019,"White",31.5
"humboldt",2019,"White",41.8
"imperial",2019,"White",70.3
"inyo",2019,"White",68.4
"kern",2019,"White",38.1
"kings",2019,"White",50.9
"lake",2019,"White",84.6
"lassen",2019,"White",33.4
"los angeles",2019,"White",25.2
"madera",2019,"White",44.5
"marin",2019,"White",17.7
"mariposa",2019,"White",35.1
"mendocino",2019,"White",62.2
"merced",2019,"White",61.5
"modoc",2019,"White",78.3
"mono",2019,"White",26.7
"monterey",2019,"White",24.3
"napa",2019,"White",33.9
"nevada",2019,"White",28.2
"orange",2019,"White",24.9
"placer",2019,"White",27.2
"plumas",2019,"White",55.4
"riverside",2019,"White",34.4
"sacramento",2019,"White",38.4
"san benito",2019,"White",42
"san bernardino",2019,"White",46.6
"san diego",2019,"White",18.8
"san francisco",2019,"White",17.2
"san joaquin",2019,"White",48.9
"san luis obispo",2019,"White",28.7
"san mateo",2019,"White",18.6
"santa barbara",2019,"White",23.8
"santa clara",2019,"White",17.1
"santa cruz",2019,"White",26.7
"shasta",2019,"White",39.8
"sierra",2019,"White",NA
"siskiyou",2019,"White",39.3
"solano",2019,"White",51.8
"sonoma",2019,"White",26.3
"stanislaus",2019,"White",49.5
"sutter",2019,"White",30.3
"tehama",2019,"White",41.8
"trinity",2019,"White",47.4
"tulare",2019,"White",40.2
"tuolumne",2019,"White",49.7
"ventura",2019,"White",31.9
"yolo",2019,"White",30.2
"yuba",2019,"White",41.9
"alameda",2019,"Black",156.8
"alpine",2019,"Black",0
"amador",2019,"Black",NA
"butte",2019,"Black",227.1
"calaveras",2019,"Black",NA
"colusa",2019,"Black",NA
"contra costa",2019,"Black",180.5
"del norte",2019,"Black",NA
"el dorado",2019,"Black",101.1
"fresno",2019,"Black",195.1
"glenn",2019,"Black",NA
"humboldt",2019,"Black",388.9
"imperial",2019,"Black",87
"inyo",2019,"Black",NA
"kern",2019,"Black",181.5
"kings",2019,"Black",112.6
"lake",2019,"Black",390.3
"lassen",2019,"Black",NA
"los angeles",2019,"Black",153.1
"madera",2019,"Black",132.9
"marin",2019,"Black",116.7
"mariposa",2019,"Black",NA
"mendocino",2019,"Black",442.6
"merced",2019,"Black",204
"modoc",2019,"Black",0
"mono",2019,"Black",0
"monterey",2019,"Black",79.7
"napa",2019,"Black",116.9
"nevada",2019,"Black",NA
"orange",2019,"Black",104.3
"placer",2019,"Black",110.9
"plumas",2019,"Black",NA
"riverside",2019,"Black",124.3
"sacramento",2019,"Black",185.2
"san benito",2019,"Black",NA
"san bernardino",2019,"Black",129.5
"san diego",2019,"Black",95.9
"san francisco",2019,"Black",191.6
"san joaquin",2019,"Black",188.2
"san luis obispo",2019,"Black",90.1
"san mateo",2019,"Black",50
"santa barbara",2019,"Black",111
"santa clara",2019,"Black",89.5
"santa cruz",2019,"Black",NA
"shasta",2019,"Black",194.9
"sierra",2019,"Black",0
"siskiyou",2019,"Black",NA
"solano",2019,"Black",174.9
"sonoma",2019,"Black",150.9
"stanislaus",2019,"Black",167.3
"sutter",2019,"Black",94.6
"tehama",2019,"Black",NA
"trinity",2019,"Black",0
"tulare",2019,"Black",183.4
"tuolumne",2019,"Black",NA
"ventura",2019,"Black",96.5
"yolo",2019,"Black",150.5
"yuba",2019,"Black",176.1
"alameda",2019,"Hispanic",45.4
"alpine",2019,"Hispanic",0
"amador",2019,"Hispanic",42.3
"butte",2019,"Hispanic",24.4
"calaveras",2019,"Hispanic",37.6
"colusa",2019,"Hispanic",44.2
"contra costa",2019,"Hispanic",58.1
"del norte",2019,"Hispanic",63.4
"el dorado",2019,"Hispanic",20.1
"fresno",2019,"Hispanic",66
"glenn",2019,"Hispanic",41
"humboldt",2019,"Hispanic",38.2
"imperial",2019,"Hispanic",60
"inyo",2019,"Hispanic",42.8
"kern",2019,"Hispanic",39.1
"kings",2019,"Hispanic",46.2
"lake",2019,"Hispanic",79.4
"lassen",2019,"Hispanic",30.7
"los angeles",2019,"Hispanic",46.5
"madera",2019,"Hispanic",51.5
"marin",2019,"Hispanic",28.3
"mariposa",2019,"Hispanic",NA
"mendocino",2019,"Hispanic",47.2
"merced",2019,"Hispanic",56.2
"modoc",2019,"Hispanic",NA
"mono",2019,"Hispanic",63.7
"monterey",2019,"Hispanic",39.1
"napa",2019,"Hispanic",42.5
"nevada",2019,"Hispanic",23.1
"orange",2019,"Hispanic",29.6
"placer",2019,"Hispanic",30.2
"plumas",2019,"Hispanic",NA
"riverside",2019,"Hispanic",33.7
"sacramento",2019,"Hispanic",51.7
"san benito",2019,"Hispanic",70.4
"san bernardino",2019,"Hispanic",40.4
"san diego",2019,"Hispanic",32.3
"san francisco",2019,"Hispanic",46.8
"san joaquin",2019,"Hispanic",46.8
"san luis obispo",2019,"Hispanic",30.3
"san mateo",2019,"Hispanic",39.1
"santa barbara",2019,"Hispanic",28.9
"santa clara",2019,"Hispanic",37.4
"santa cruz",2019,"Hispanic",34.4
"shasta",2019,"Hispanic",26.5
"sierra",2019,"Hispanic",0
"siskiyou",2019,"Hispanic",33.4
"solano",2019,"Hispanic",53.5
"sonoma",2019,"Hispanic",33.9
"stanislaus",2019,"Hispanic",47.7
"sutter",2019,"Hispanic",25.9
"tehama",2019,"Hispanic",41.6
"trinity",2019,"Hispanic",NA
"tulare",2019,"Hispanic",39.4
"tuolumne",2019,"Hispanic",36.3
"ventura",2019,"Hispanic",28.3
"yolo",2019,"Hispanic",35.1
"yuba",2019,"Hispanic",35.6
"alameda",2019,"Asian/PI",19.5
"alpine",2019,"Asian/PI",0
"amador",2019,"Asian/PI",0
"butte",2019,"Asian/PI",14.8
"calaveras",2019,"Asian/PI",NA
"colusa",2019,"Asian/PI",0
"contra costa",2019,"Asian/PI",23
"del norte",2019,"Asian/PI",NA
"el dorado",2019,"Asian/PI",23.8
"fresno",2019,"Asian/PI",23.7
"glenn",2019,"Asian/PI",NA
"humboldt",2019,"Asian/PI",NA
"imperial",2019,"Asian/PI",NA
"inyo",2019,"Asian/PI",NA
"kern",2019,"Asian/PI",21.1
"kings",2019,"Asian/PI",NA
"lake",2019,"Asian/PI",NA
"lassen",2019,"Asian/PI",NA
"los angeles",2019,"Asian/PI",14.9
"madera",2019,"Asian/PI",NA
"marin",2019,"Asian/PI",9.9
"mariposa",2019,"Asian/PI",0
"mendocino",2019,"Asian/PI",0
"merced",2019,"Asian/PI",20.6
"modoc",2019,"Asian/PI",0
"mono",2019,"Asian/PI",NA
"monterey",2019,"Asian/PI",17.9
"napa",2019,"Asian/PI",24.5
"nevada",2019,"Asian/PI",NA
"orange",2019,"Asian/PI",13.2
"placer",2019,"Asian/PI",26.6
"plumas",2019,"Asian/PI",NA
"riverside",2019,"Asian/PI",16.2
"sacramento",2019,"Asian/PI",33.4
"san benito",2019,"Asian/PI",NA
"san bernardino",2019,"Asian/PI",13.9
"san diego",2019,"Asian/PI",18
"san francisco",2019,"Asian/PI",16.2
"san joaquin",2019,"Asian/PI",31.1
"san luis obispo",2019,"Asian/PI",NA
"san mateo",2019,"Asian/PI",13.2
"santa barbara",2019,"Asian/PI",10.9
"santa clara",2019,"Asian/PI",12.1
"santa cruz",2019,"Asian/PI",12
"shasta",2019,"Asian/PI",55.9
"sierra",2019,"Asian/PI",0
"siskiyou",2019,"Asian/PI",NA
"solano",2019,"Asian/PI",37
"sonoma",2019,"Asian/PI",17.4
"stanislaus",2019,"Asian/PI",22.2
"sutter",2019,"Asian/PI",13.1
"tehama",2019,"Asian/PI",0
"trinity",2019,"Asian/PI",0
"tulare",2019,"Asian/PI",23.4
"tuolumne",2019,"Asian/PI",0
"ventura",2019,"Asian/PI",7.4
"yolo",2019,"Asian/PI",13.1
"yuba",2019,"Asian/PI",NA
"alameda",2019,"AI/AN",50.5
"alpine",2019,"AI/AN",NA
"amador",2019,"AI/AN",0
"butte",2019,"AI/AN",NA
"calaveras",2019,"AI/AN",NA
"colusa",2019,"AI/AN",0
"contra costa",2019,"AI/AN",NA
"del norte",2019,"AI/AN",NA
"el dorado",2019,"AI/AN",NA
"fresno",2019,"AI/AN",20.4
"glenn",2019,"AI/AN",NA
"humboldt",2019,"AI/AN",50.3
"imperial",2019,"AI/AN",0
"inyo",2019,"AI/AN",107.8
"kern",2019,"AI/AN",22.8
"kings",2019,"AI/AN",NA
"lake",2019,"AI/AN",NA
"lassen",2019,"AI/AN",NA
"los angeles",2019,"AI/AN",33.9
"madera",2019,"AI/AN",NA
"marin",2019,"AI/AN",0
"mariposa",2019,"AI/AN",NA
"mendocino",2019,"AI/AN",107.7
"merced",2019,"AI/AN",0
"modoc",2019,"AI/AN",NA
"mono",2019,"AI/AN",NA
"monterey",2019,"AI/AN",78
"napa",2019,"AI/AN",NA
"nevada",2019,"AI/AN",0
"orange",2019,"AI/AN",NA
"placer",2019,"AI/AN",NA
"plumas",2019,"AI/AN",NA
"riverside",2019,"AI/AN",36
"sacramento",2019,"AI/AN",25.6
"san benito",2019,"AI/AN",0
"san bernardino",2019,"AI/AN",22.9
"san diego",2019,"AI/AN",24.2
"san francisco",2019,"AI/AN",NA
"san joaquin",2019,"AI/AN",NA
"san luis obispo",2019,"AI/AN",NA
"san mateo",2019,"AI/AN",NA
"santa barbara",2019,"AI/AN",0
"santa clara",2019,"AI/AN",NA
"santa cruz",2019,"AI/AN",0
"shasta",2019,"AI/AN",NA
"sierra",2019,"AI/AN",0
"siskiyou",2019,"AI/AN",98.2
"solano",2019,"AI/AN",NA
"sonoma",2019,"AI/AN",NA
"stanislaus",2019,"AI/AN",NA
"sutter",2019,"AI/AN",NA
"tehama",2019,"AI/AN",NA
"trinity",2019,"AI/AN",0
"tulare",2019,"AI/AN",NA
"tuolumne",2019,"AI/AN",NA
"ventura",2019,"AI/AN",0
"yolo",2019,"AI/AN",NA
"yuba",2019,"AI/AN",NA
"alameda",2020,"White",13.1
"alpine",2020,"White",0
"amador",2020,"White",37.6
"butte",2020,"White",21.4
"calaveras",2020,"White",30
"colusa",2020,"White",30.6
"contra costa",2020,"White",15
"del norte",2020,"White",50.3
"el dorado",2020,"White",20.6
"fresno",2020,"White",26.3
"glenn",2020,"White",16.3
"humboldt",2020,"White",31.7
"imperial",2020,"White",21.8
"inyo",2020,"White",22.9
"kern",2020,"White",21.5
"kings",2020,"White",22.2
"lake",2020,"White",44.1
"lassen",2020,"White",33.2
"los angeles",2020,"White",15.3
"madera",2020,"White",26.9
"marin",2020,"White",8.1
"mariposa",2020,"White",20.3
"mendocino",2020,"White",43
"merced",2020,"White",32
"modoc",2020,"White",31.7
"mono",2020,"White",24.7
"monterey",2020,"White",17
"napa",2020,"White",19.7
"nevada",2020,"White",21.2
"orange",2020,"White",14.6
"placer",2020,"White",15.8
"plumas",2020,"White",37.7
"riverside",2020,"White",21.7
"sacramento",2020,"White",23.3
"san benito",2020,"White",27.9
"san bernardino",2020,"White",27.2
"san diego",2020,"White",11.6
"san francisco",2020,"White",9.4
"san joaquin",2020,"White",27
"san luis obispo",2020,"White",16.5
"san mateo",2020,"White",9.8
"santa barbara",2020,"White",13.2
"santa clara",2020,"White",11
"santa cruz",2020,"White",15.4
"shasta",2020,"White",25
"sierra",2020,"White",NA
"siskiyou",2020,"White",24.9
"solano",2020,"White",32
"sonoma",2020,"White",16.7
"stanislaus",2020,"White",29.8
"sutter",2020,"White",19.6
"tehama",2020,"White",23.8
"trinity",2020,"White",28.7
"tulare",2020,"White",22.1
"tuolumne",2020,"White",30.5
"ventura",2020,"White",15.5
"yolo",2020,"White",15.9
"yuba",2020,"White",26.2
"alameda",2020,"Black",89.8
"alpine",2020,"Black",0
"amador",2020,"Black",NA
"butte",2020,"Black",134.4
"calaveras",2020,"Black",NA
"colusa",2020,"Black",NA
"contra costa",2020,"Black",98.7
"del norte",2020,"Black",NA
"el dorado",2020,"Black",92.6
"fresno",2020,"Black",108.9
"glenn",2020,"Black",0
"humboldt",2020,"Black",242
"imperial",2020,"Black",NA
"inyo",2020,"Black",NA
"kern",2020,"Black",100.6
"kings",2020,"Black",50.8
"lake",2020,"Black",246.3
"lassen",2020,"Black",NA
"los angeles",2020,"Black",82.8
"madera",2020,"Black",60.6
"marin",2020,"Black",46.1
"mariposa",2020,"Black",NA
"mendocino",2020,"Black",NA
"merced",2020,"Black",140.9
"modoc",2020,"Black",0
"mono",2020,"Black",0
"monterey",2020,"Black",56.4
"napa",2020,"Black",95.1
"nevada",2020,"Black",NA
"orange",2020,"Black",62.2
"placer",2020,"Black",61
"plumas",2020,"Black",NA
"riverside",2020,"Black",75.6
"sacramento",2020,"Black",117.3
"san benito",2020,"Black",NA
"san bernardino",2020,"Black",81.2
"san diego",2020,"Black",56.1
"san francisco",2020,"Black",100
"san joaquin",2020,"Black",129.9
"san luis obispo",2020,"Black",NA
"san mateo",2020,"Black",33.8
"santa barbara",2020,"Black",66.1
"santa clara",2020,"Black",56.5
"santa cruz",2020,"Black",74.1
"shasta",2020,"Black",79.1
"sierra",2020,"Black",0
"siskiyou",2020,"Black",NA
"solano",2020,"Black",99.5
"sonoma",2020,"Black",63.9
"stanislaus",2020,"Black",111.3
"sutter",2020,"Black",88.5
"tehama",2020,"Black",NA
"trinity",2020,"Black",0
"tulare",2020,"Black",119.5
"tuolumne",2020,"Black",NA
"ventura",2020,"Black",51.9
"yolo",2020,"Black",123.9
"yuba",2020,"Black",99.8
"alameda",2020,"Hispanic",23.4
"alpine",2020,"Hispanic",0
"amador",2020,"Hispanic",NA
"butte",2020,"Hispanic",19.7
"calaveras",2020,"Hispanic",30.2
"colusa",2020,"Hispanic",15.2
"contra costa",2020,"Hispanic",28.9
"del norte",2020,"Hispanic",34.1
"el dorado",2020,"Hispanic",19.8
"fresno",2020,"Hispanic",34.7
"glenn",2020,"Hispanic",23.6
"humboldt",2020,"Hispanic",25.9
"imperial",2020,"Hispanic",26.4
"inyo",2020,"Hispanic",27.2
"kern",2020,"Hispanic",24.5
"kings",2020,"Hispanic",30.2
"lake",2020,"Hispanic",43.9
"lassen",2020,"Hispanic",NA
"los angeles",2020,"Hispanic",25
"madera",2020,"Hispanic",33.3
"marin",2020,"Hispanic",17.4
"mariposa",2020,"Hispanic",NA
"mendocino",2020,"Hispanic",31
"merced",2020,"Hispanic",37.6
"modoc",2020,"Hispanic",NA
"mono",2020,"Hispanic",41.4
"monterey",2020,"Hispanic",21.7
"napa",2020,"Hispanic",27.4
"nevada",2020,"Hispanic",17.3
"orange",2020,"Hispanic",17.9
"placer",2020,"Hispanic",13.7
"plumas",2020,"Hispanic",NA
"riverside",2020,"Hispanic",22
"sacramento",2020,"Hispanic",32.5
"san benito",2020,"Hispanic",40.9
"san bernardino",2020,"Hispanic",25.1
"san diego",2020,"Hispanic",18.9
