"site","ozone","month","year","lat","lon"
3198,0.0213252647503782,1,2015,33.21701,-117.39616
3200,0.0122274562584118,1,2015,36.98332,-121.98822
3209,0.0117760504201681,1,2015,38.49444,-121.21115
3211,0.0152056737588653,1,2015,36.86719,-120.01011
3215,0.0160963343108504,1,2015,35.774455,-117.372102
3247,0.00859204052098408,1,2015,37.74306,-122.16994
3249,0.0111707880434783,1,2015,38.66121,-121.73269
3251,0.0248340306834031,1,2015,35.0315,-120.50101
3265,0.0197033868092692,1,2015,33.63005,-117.67588
3484,0.0228105548037889,1,2015,36.48943,-118.829138
3486,0.0197762039660057,1,2015,34.942872,-120.435611
3489,0.0157935222672065,1,2015,36.694261,-121.623271
3490,0.00942659123055163,1,2015,37.6875,-121.7842
3491,0.0268567605633803,1,2015,39.708454,-121.617309
3495,0.0341758087201125,1,2015,35.644167,-120.23
3500,0.0156929535232384,1,2015,34.51096,-117.32555
3502,0.0216810888252149,1,2015,34.38337,-118.52839
3505,0.0247862903225806,1,2015,34.404281,-118.80998
3658,0.0139144144144144,1,2015,34.66959,-118.13068
3661,0.00664868035190616,1,2015,37.348488,-121.894936
3665,0.0144046348314607,1,2015,34.427753,-119.690912
3668,0.0114353436185133,1,2015,37.9604,-122.35685
3673,0.0181381486676017,1,2015,33.61235,-114.60209
3674,0.0117982866043614,1,2015,33.83061,-117.9385
3678,0.0102350067842605,1,2015,38.35655,-121.94986
3683,0.0160516320474777,1,2015,33.95507,-118.43049
3688,0.019151404494382,1,2015,35.25651,-120.6693
3690,0.014492795389049,1,2015,32.70139,-117.1528
3693,0.0154173106646059,1,2015,34.01029,-118.0685
3694,0.0201304347826087,1,2015,35.35472,-120.04019
3696,0.01785734870317,1,2015,37.68268,-121.44238
3697,0.0381593495934959,1,2015,33.7411,-115.8206
3702,0.0146117917304747,1,2015,33.99636,-117.4924
3714,0.0141395620437956,1,2015,39.53387,-122.190834
3716,0.0125517094017094,1,2015,40.77678,-124.17949
3726,0.0124932795698925,1,2015,36.209018,-121.125959
3732,0.0343777777777778,1,2015,33.93983,-115.41085
3738,0.00840161725067385,1,2015,38.650783,-121.506767
3739,0.0272242424242424,1,2015,32.57816,-116.92135
3742,0.00751825842696629,1,2015,37.8148,-122.28236
3743,0.00985483870967742,1,2015,33.901445,-118.204989
3758,0.0168356241234222,1,2015,35.23918,-118.78863
3759,0.0141887366818874,1,2015,36.63424,-120.38234
3763,0.0129259259259259,1,2015,36.03179,-119.05505
3766,0.0217297709923664,1,2015,32.84547,-117.12389
3771,0.0113319672131148,1,2015,36.95326,-120.03419
3774,0.013104203539823,1,2015,33.8025,-118.22
3777,0.0299315864022663,1,2015,33.583018,-117.072202
3779,0.0202154262516915,1,2015,40.71527,-124.20149
3781,0.00828488700564972,1,2015,36.78538,-119.77321
3783,0.00908890469416785,1,2015,39.76168,-121.84047
3787,0.0138441558441559,1,2015,35.33156,-118.9999
3796,0.00903387533875339,1,2015,38.88563,-121.30208
3804,0.0076377304964539,1,2015,38.403765,-122.818294
3806,0.0137582089552239,1,2015,32.817978,-116.968133
3816,0.0235986111111111,1,2015,40.17088,-122.25556
5274,0.037931170886076,1,2015,36.69731,-119.0188
5275,0.0280907103825137,1,2015,36.1344,-118.811
2008,0.031488188976378,2,2015,34.46248,-120.02547
2013,0.0193273322422259,2,2015,36.70556,-119.74139
2016,0.0249866071428571,2,2015,36.48187,-121.73333
2032,0.0183057453416149,2,2015,36.33252,-119.29095
2077,0.0299462199312715,2,2015,34.05965,-117.14734
2094,0.0175178571428571,2,2015,37.95075,-121.26897
2114,0.023371335504886,2,2015,36.59744,-119.50369
2116,0.030206656580938,2,2015,37.36075,-118.3308
2123,0.0203630672926448,2,2015,38.71209,-121.38108
2125,0.0179072310405644,2,2015,37.48293,-122.20348
2143,0.0214481366459627,2,2015,38.53455,-121.7734
2160,0.0212194847020934,2,2015,34.13265,-118.12714
2199,0.0387616415410385,2,2015,33.85262,-116.54099
2221,0.0223117552334944,2,2015,34.106678,-117.274063
